行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
,賓茂村,80,262,18,360,10,370,0,370,262,632,58.54
,歷坵村,50,316,50,416,6,422,0,422,184,606,69.64
,總計,618,2368,332,3318,44,3362,0,3362,2102,5464,61.53
達仁鄉,,458,2146,504,3108,32,3140,0,3140,2898,6038,52.0
,台坂村,86,462,84,632,8,640,0,640,532,1172,54.61
,土坂村,88,646,58,792,6,798,0,798,780,1578,50.57
,新化村,22,254,52,328,4,332,0,332,302,634,52.37
,安朔村,158,400,146,704,2,706,0,706,552,1258,56.12
,森永村,60,196,96,352,4,356,0,356,408,764,46.6
,南田村,44,188,68,300,8,308,0,308,324,632,48.73
,總計,458,2146,504,3108,32,3140,0,3140,2898,6038,52.0
蘭嶼鄉,,1234,764,598,2596,68,2664,0,2664,5004,7668,34.74
,東清村,398,186,154,738,22,760,0,760,1456,2216,34.3
,朗島村,200,102,142,444,8,452,0,452,926,1378,32.8
,紅頭村,356,256,200,812,16,828,0,828,1496,2324,35.63
,椰油村,280,220,102,602,22,624,0,624,1126,1750,35.66
,總計,1234,764,598,2596,68,2664,0,2664,5004,7668,34.74
