行政區別,村里別,唐新民,張家豪,施奉先,王文娟,童文薰,蔣萬安,蘇煥智,謝立康,鄭匡宇,陳時中,黃珊珊,黃聖峰
北投區,開明里,2,8,0,0,4,3106,4,0,6,2484,1796,6
北投區,關渡里,0,20,4,12,10,4800,16,4,4,4142,2954,2
南港區,三重里,0,8,0,0,8,3088,8,0,2,2198,2322,2
南港區,中南里,2,8,0,0,4,1368,10,4,2,1226,1164,2
南港區,中研里,6,14,0,4,18,3738,26,6,6,3106,3142,0
南港區,九如里,2,4,0,2,8,3112,2,4,4,1740,1888,0
南港區,仁福里,0,6,2,4,12,2894,12,2,0,1558,1802,0
南港區,南港里,2,6,0,0,10,2352,6,6,2,1894,1984,0
南港區,合成里,0,8,0,2,8,2888,2,4,6,2370,1838,4
南港區,成福里,0,8,0,8,18,3888,6,0,6,2272,2320,2
南港區,新光里,0,8,0,2,16,1784,6,0,2,1240,1076,0
南港區,新富里,2,12,0,10,6,1540,6,0,0,1450,1326,2
南港區,東新里,4,14,0,0,2,2698,10,4,4,2310,2260,2
南港區,東明里,0,10,2,2,10,2508,2,0,4,1596,2018,0
南港區,玉成里,2,6,0,4,8,1980,2,2,2,1834,1370,2
南港區,百福里,4,6,4,0,12,2240,8,0,2,1830,1458,2
南港區,聯成里,4,6,4,2,4,2380,8,2,0,1612,1584,0
南港區,舊莊里,0,16,4,4,12,3408,8,2,2,2714,2766,0
南港區,萬福里,4,4,2,0,6,2144,4,0,2,1386,1344,0
南港區,西新里,0,6,0,6,6,1696,6,0,2,1848,1496,0
南港區,重陽里,4,8,0,2,18,2680,4,0,6,1676,1998,0
南港區,鴻福里,0,4,0,2,8,2136,2,2,0,1572,1336,2
士林區,三玉里,4,8,0,0,6,2566,12,0,2,2136,1442,0
士林區,仁勇里,2,12,0,4,6,1570,4,0,0,1680,1152,2
士林區,公館里,4,0,2,0,0,484,6,2,0,774,394,0
士林區,前港里,0,6,2,2,0,1602,8,2,0,1934,1308,0
士林區,名山里,0,20,0,2,20,3222,6,2,0,2668,1878,0
士林區,天和里,0,26,0,0,16,3232,8,4,0,2752,1888,0
士林區,天壽里,0,6,0,0,12,2174,2,2,0,1838,1178,0
士林區,天山里,0,14,0,2,18,3136,8,4,2,2366,1566,0
士林區,天母里,2,8,0,2,4,2986,10,0,2,2348,1592,2
士林區,天玉里,0,8,2,2,8,3746,16,0,2,3130,2140,0
士林區,天祿里,0,20,2,0,8,2024,4,2,2,2110,1380,0
士林區,天福里,2,20,12,4,4,2778,2,2,0,2252,1654,0
士林區,富光里,2,10,4,2,14,2218,14,0,2,2878,1762,4
士林區,富洲里,2,6,2,10,418,1192,16,0,0,3332,2018,2
士林區,岩山里,0,2,0,0,8,1654,6,2,2,1180,788,0
士林區,平等里,0,4,2,2,0,524,2,2,0,920,398,0
士林區,後港里,4,18,0,12,14,2902,10,4,0,3326,2242,0
士林區,德華里,2,6,2,0,16,2254,12,0,4,2374,1442,0
士林區,德行里,2,12,0,2,2,1962,6,0,4,1740,1168,2
士林區,忠誠里,2,6,6,4,8,3132,10,0,4,1514,1208,0
士林區,承德里,0,8,0,2,16,2444,8,0,4,1920,1416,0
士林區,新安里,0,2,2,0,8,788,16,2,2,954,440,2
士林區,明勝里,2,12,0,0,14,2046,8,0,0,2038,1402,0
士林區,東山里,2,10,0,4,6,2720,18,0,0,1544,1316,2
士林區,永倫里,4,16,2,2,6,2428,6,4,0,3374,2058,0
士林區,永福里,0,0,0,0,8,446,6,0,0,682,262,0
士林區,溪山里,4,6,2,2,8,612,0,0,0,748,364,2
士林區,百齡里,2,4,2,2,12,2478,6,2,2,2874,1988,2
士林區,社園里,0,16,2,16,8,2312,12,0,0,3628,1942,0
士林區,社子里,4,4,0,0,10,2336,10,2,0,3104,1808,0
士林區,社新里,2,16,2,10,8,3104,6,0,2,4116,2578,0
士林區,福中里,0,24,2,0,16,2482,14,0,2,2956,1842,0
士林區,福佳里,0,8,2,6,24,3306,12,2,4,3182,2152,0
