行政區別,村里別,宋楚瑜/余湘,蔡英文/賴清德,韓國瑜/張善政,宋楚瑜/余湘_黨籍,蔡英文/賴清德_黨籍,韓國瑜/張善政_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
士林區,天山里,284,4792,3862,親民黨,民主進步黨,中國國民黨,179,1112,10,1122,1513,0,3,1
士林區,天母里,350,4430,3620,親民黨,民主進步黨,中國國民黨,161,886,17,903,1183,0,3,1
士林區,天玉里,434,6076,4476,親民黨,民主進步黨,中國國民黨,188,1167,8,1175,1567,0,3,1
士林區,天祿里,298,4004,2488,親民黨,民主進步黨,中國國民黨,173,1137,18,1155,1511,0,3,1
士林區,天福里,350,4534,3242,親民黨,民主進步黨,中國國民黨,169,1178,11,1189,1493,0,3,1
士林區,富光里,326,5104,2238,親民黨,民主進步黨,中國國民黨,358,985,13,998,1304,0,3,1
士林區,富洲里,322,5912,1756,親民黨,民主進步黨,中國國民黨,393,1091,14,1105,1422,0,3,1
士林區,岩山里,168,2332,1956,親民黨,民主進步黨,中國國民黨,397,1092,19,1111,1486,0,3,1
士林區,平等里,48,1524,462,親民黨,民主進步黨,中國國民黨,424,1017,6,1023,1322,0,3,1
士林區,後港里,448,6584,3454,親民黨,民主進步黨,中國國民黨,327,820,14,834,1108,0,3,1
士林區,德華里,316,4460,2616,親民黨,民主進步黨,中國國民黨,196,940,8,948,1235,0,3,1
士林區,德行里,288,3364,2244,親民黨,民主進步黨,中國國民黨,193,1031,12,1043,1310,0,3,1
士林區,忠誠里,276,3218,3850,親民黨,民主進步黨,中國國民黨,200,934,11,945,1236,0,3,1
士林區,承德里,302,3964,2870,親民黨,民主進步黨,中國國民黨,344,835,11,846,1123,0,3,1
士林區,新安里,92,1598,854,親民黨,民主進步黨,中國國民黨,417,628,3,631,862,0,3,1
士林區,明勝里,262,3874,2422,親民黨,民主進步黨,中國國民黨,352,1076,10,1086,1415,0,3,1
士林區,東山里,246,3262,3222,親民黨,民主進步黨,中國國民黨,412,1009,11,1020,1349,0,3,1
士林區,永倫里,332,6298,2740,親民黨,民主進步黨,中國國民黨,385,935,10,945,1242,0,3,1
士林區,永福里,68,1058,492,親民黨,民主進步黨,中國國民黨,415,809,16,825,1124,0,3,1
士林區,溪山里,52,1238,626,親民黨,民主進步黨,中國國民黨,425,958,13,971,1311,0,3,1
士林區,百齡里,424,5856,2980,親民黨,民主進步黨,中國國民黨,340,1147,11,1158,1496,0,3,1
士林區,社園里,374,6622,2540,親民黨,民主進步黨,中國國民黨,380,939,12,951,1240,0,3,1
