行政區別,村里別,侯友宜/趙少康,柯文哲/吳欣盈,賴清德/蕭美琴,侯友宜/趙少康_黨籍,柯文哲/吳欣盈_黨籍,賴清德/蕭美琴_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
北投區,永明里,2196,1548,2264,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,47,1091,13,1104,1401,0,3,0
北投區,永欣里,3864,2182,3940,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,42,1002,2,1004,1329,0,3,0
北投區,泉源里,826,704,1302,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,164,390,1,391,536,0,3,0
北投區,洲美里,724,772,1598,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,79,750,6,756,969,0,3,0
北投區,清江里,3630,2462,4632,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,88,807,7,814,2265,0,3,0
北投區,湖山里,668,360,868,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,166,512,4,516,733,0,3,0
北投區,湖田里,382,244,450,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,169,538,0,538,780,0,3,0
北投區,溫泉里,2770,1814,3500,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,108,790,6,796,1051,0,3,0
北投區,石牌里,2112,1552,2764,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,7,866,15,881,1138,0,3,0
北投區,福興里,2884,2234,3590,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,11,891,9,900,1182,0,3,0
北投區,秀山里,1528,868,1508,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,135,887,5,892,1232,0,3,0
北投區,稻香里,2662,1596,2548,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,143,878,2,880,1194,0,3,0
北投區,立賢里,2144,1770,2726,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,65,865,10,875,1142,0,3,0
北投區,立農里,3710,3184,4782,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,69,929,4,933,1218,0,3,0
北投區,裕民里,3486,2260,3902,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,26,989,4,993,1307,0,3,0
北投區,豐年里,1810,1374,1910,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,140,873,4,877,1185,0,3,0
北投區,長安里,2426,1824,3056,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,100,886,8,894,1224,0,3,0
北投區,開明里,3144,1946,3188,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,123,981,5,986,1332,0,3,0
北投區,關渡里,4532,3254,5446,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,156,1633,9,1642,2184,0,3,0
南港區,三重里,3382,2552,3354,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,853,962,2,964,1292,0,3,0
南港區,中南里,1376,1160,1696,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,850,689,7,696,938,0,3,0
南港區,中研里,3968,3004,4396,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,861,956,6,962,1329,0,3,0
南港區,九如里,3262,1978,2528,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,867,932,5,937,1306,0,3,0
南港區,仁福里,3086,1860,2268,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,921,851,8,859,1093,0,3,0
南港區,南港里,2470,2058,2670,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,846,707,5,712,1017,0,3,0
南港區,合成里,3034,1976,3142,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,896,745,4,749,1006,0,3,0
南港區,成福里,3958,2300,3160,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,916,998,7,1005,1321,0,3,0
南港區,新光里,1888,1170,1610,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,901,823,4,827,1075,0,3,0
南港區,新富里,1578,1234,1924,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,858,750,3,753,985,0,3,0
南港區,東新里,2926,2394,3154,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,877,816,5,821,1118,0,3,0
