行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,宋楚瑜/徐欣瑩_黨籍,朱立倫/王如玄_黨籍,蔡英文/陳建仁_黨籍
花蓮市,民享里,532,1716,1032,親民黨,中國國民黨,民主進步黨
花蓮市,民勤里,562,2112,1214,親民黨,中國國民黨,民主進步黨
花蓮市,民孝里,614,2228,1252,親民黨,中國國民黨,民主進步黨
花蓮市,民德里,204,1022,716,親民黨,中國國民黨,民主進步黨
花蓮市,民心里,198,474,474,親民黨,中國國民黨,民主進步黨
花蓮市,民意里,388,1552,530,親民黨,中國國民黨,民主進步黨
花蓮市,民政里,534,2172,1512,親民黨,中國國民黨,民主進步黨
花蓮市,民族里,66,290,214,親民黨,中國國民黨,民主進步黨
花蓮市,民有里,122,274,360,親民黨,中國國民黨,民主進步黨
花蓮市,民樂里,118,334,256,親民黨,中國國民黨,民主進步黨
花蓮市,民權里,74,256,146,親民黨,中國國民黨,民主進步黨
花蓮市,民治里、民主里,78,354,234,親民黨,中國國民黨,民主進步黨
花蓮市,民生里,158,604,626,親民黨,中國國民黨,民主進步黨
花蓮市,民立里,190,874,670,親民黨,中國國民黨,民主進步黨
花蓮市,民運里,398,1100,910,親民黨,中國國民黨,民主進步黨
萬榮鄉,明利村,122,350,212,親民黨,中國國民黨,民主進步黨
萬榮鄉,紅葉村,184,576,152,親民黨,中國國民黨,民主進步黨
萬榮鄉,萬榮村,138,500,214,親民黨,中國國民黨,民主進步黨
萬榮鄉,西林村,202,722,196,親民黨,中國國民黨,民主進步黨
萬榮鄉,見晴村,128,288,114,親民黨,中國國民黨,民主進步黨
萬榮鄉,馬遠村,164,702,186,親民黨,中國國民黨,民主進步黨
豐濱鄉,新社村,112,386,110,親民黨,中國國民黨,民主進步黨
豐濱鄉,港口村,80,468,240,親民黨,中國國民黨,民主進步黨
豐濱鄉,磯崎村,46,240,70,親民黨,中國國民黨,民主進步黨
豐濱鄉,豐濱村,228,946,364,親民黨,中國國民黨,民主進步黨
豐濱鄉,靜浦村,56,412,122,親民黨,中國國民黨,民主進步黨
鳳林鎮,北林里,60,198,382,親民黨,中國國民黨,民主進步黨
鳳林鎮,南平里,58,282,270,親民黨,中國國民黨,民主進步黨
鳳林鎮,大榮里,156,626,626,親民黨,中國國民黨,民主進步黨
鳳林鎮,山興里,64,344,180,親民黨,中國國民黨,民主進步黨
鳳林鎮,林榮里,122,460,364,親民黨,中國國民黨,民主進步黨
鳳林鎮,森榮里,16,86,24,親民黨,中國國民黨,民主進步黨
鳳林鎮,長橋里,154,494,470,親民黨,中國國民黨,民主進步黨
鳳林鎮,鳳仁里,176,702,536,親民黨,中國國民黨,民主進步黨
鳳林鎮,鳳信里,252,802,404,親民黨,中國國民黨,民主進步黨
鳳林鎮,鳳智里,156,828,372,親民黨,中國國民黨,民主進步黨
鳳林鎮,鳳禮里,78,424,286,親民黨,中國國民黨,民主進步黨
鳳林鎮,鳳義里,126,372,228,親民黨,中國國民黨,民主進步黨
