縣市,行政區別,村里別,小民參政歐巴桑聯盟,司法改革黨,新黨,台灣民眾黨,台灣維新,親民黨,人民最大黨,台灣團結聯盟,台灣綠黨,臺灣雙語無法黨,台灣基進,中華統一促進黨,民主進步黨,制度救世島,時代力量,中國國民黨,不分區政黨有效票數A
花蓮縣,瑞穗鄉,瑞祥村,8,0,16,130,2,4,0,2,10,6,8,2,260,0,10,560,1018
花蓮縣,瑞穗鄉,瑞穗村,10,0,0,296,2,8,0,8,26,18,8,2,514,2,20,1152,2066
花蓮縣,瑞穗鄉,瑞美村,12,4,2,370,0,12,4,12,34,10,2,0,480,2,18,1296,2258
花蓮縣,瑞穗鄉,瑞良村,0,0,2,56,2,0,0,0,4,8,0,0,156,0,10,322,560
花蓮縣,瑞穗鄉,舞鶴村,8,6,0,148,0,12,0,4,2,16,4,0,184,4,12,594,994
花蓮縣,瑞穗鄉,鶴岡村,0,2,0,144,2,8,2,2,4,14,0,4,108,0,16,592,898
花蓮縣,秀林鄉,佳民村,0,6,2,220,0,4,4,2,14,6,2,10,124,2,6,964,1366
花蓮縣,秀林鄉,和平村,8,8,6,354,0,12,4,10,14,6,8,6,350,6,28,1218,2038
花蓮縣,秀林鄉,富世村,4,16,12,452,6,24,2,12,36,20,4,14,392,2,36,1310,2342
花蓮縣,秀林鄉,崇德村,6,6,6,270,0,20,4,4,22,6,4,4,130,0,18,1128,1628
花蓮縣,秀林鄉,文蘭村,10,10,2,276,2,8,0,6,6,6,6,0,146,2,16,990,1486
花蓮縣,秀林鄉,景美村,8,12,12,468,0,22,8,10,14,16,4,10,370,4,28,1308,2294
花蓮縣,秀林鄉,水源村,4,4,4,330,2,14,4,14,20,8,2,4,166,0,22,1042,1640
花蓮縣,秀林鄉,秀林村,8,8,8,480,0,10,8,12,24,24,4,6,290,0,28,1336,2246
花蓮縣,秀林鄉,銅門村,6,20,8,348,4,18,2,6,10,8,0,8,154,2,16,976,1586
花蓮縣,花蓮市,主信里,6,4,6,218,0,6,2,2,2,2,2,0,256,2,14,386,908
花蓮縣,花蓮市,主力里,12,8,12,758,0,18,4,6,24,10,6,0,946,6,74,1540,3424
花蓮縣,花蓮市,主勤里,2,4,2,196,0,2,0,0,20,4,2,0,290,0,10,464,996
花蓮縣,花蓮市,主和里,30,4,2,784,6,28,2,10,42,14,16,4,918,2,64,1736,3662
花蓮縣,花蓮市,主商里,10,2,0,164,0,2,2,0,6,6,2,0,250,0,12,288,744
花蓮縣,花蓮市,主學里,14,8,2,530,2,20,4,8,32,2,18,2,636,0,48,1096,2422
花蓮縣,花蓮市,主安里,8,10,12,672,6,18,2,4,36,18,14,6,734,8,64,1444,3056
花蓮縣,花蓮市,主工里,6,2,2,166,0,0,0,14,8,0,6,0,192,2,10,306,714
花蓮縣,花蓮市,主權里,28,10,24,1568,4,24,8,6,64,18,32,8,1632,6,168,3306,6906
花蓮縣,花蓮市,主睦里,6,0,2,146,0,2,0,0,16,2,0,2,210,0,10,310,706
花蓮縣,花蓮市,主義里,0,2,0,122,0,4,0,2,2,0,2,0,164,0,8,298,604
花蓮縣,花蓮市,主計里,10,6,0,218,0,4,0,2,8,2,0,0,250,2,16,486,1004
花蓮縣,花蓮市,主農里,44,18,18,1048,2,14,8,6,30,10,24,8,1106,6,114,2194,4650
花蓮縣,花蓮市,國光里,6,0,6,282,2,10,0,2,20,12,8,2,346,0,30,744,1470
花蓮縣,花蓮市,國威里,10,2,4,410,0,8,0,6,20,0,8,4,532,2,54,740,1800
花蓮縣,花蓮市,國安里,4,0,6,128,0,12,0,0,10,2,2,0,178,2,12,328,684
花蓮縣,花蓮市,國富里,52,16,30,1272,2,26,2,16,76,24,10,6,1586,4,140,3204,6466
花蓮縣,花蓮市,國強里,26,14,8,522,0,16,0,8,22,16,12,2,484,0,76,1166,2372
花蓮縣,花蓮市,國慶里,12,2,8,340,0,16,0,8,22,8,10,0,390,2,18,624,1460
花蓮縣,花蓮市,國治里,18,2,4,216,0,6,2,0,12,6,4,2,284,0,24,482,1062
花蓮縣,花蓮市,國盛里,20,12,12,1024,2,24,6,4,42,14,20,4,968,6,82,2202,4442
花蓮縣,花蓮市,國福里,10,4,6,318,0,8,0,12,34,12,0,4,362,2,24,856,1652
花蓮縣,花蓮市,國聯里,22,8,22,814,2,30,6,6,46,14,10,2,988,2,68,1638,3678
花蓮縣,花蓮市,國興里,46,10,20,1282,2,26,8,10,40,22,16,10,1256,4,102,2840,5694
花蓮縣,花蓮市,國華里,22,4,10,628,2,8,0,12,34,14,16,0,726,2,44,1352,2874
